column_name,normalized_label,map_id
stav m2,availability,114
flats count,none,573
cena celkem vc dph,price,45
cena od kc,price,144
balkon terasa m2,exterior_area,500
b l t m2,exterior_area,371
c jednotky,id,219
sklep m2,cellar_area,183
koupit online,none,480
terasa zahrada,exterior_area,172
cena m2,price,411
cena s dph kc,price,518
storage box,none,278
typ vlastnictvi,none,629
galerie pracovna m2,none,585
konecna cena za byt vc dph,price,113
podlahova plocha m2,floor_area,131
predzah m2 m2,garden_area,240
plocha celkem m2,floor_area,202
pocet pokoju,layout,322
prislusenstvi m2,none,62
balkon terasa m2,balcony_area,229
terasa lodzie,terrace_area,30
parkovaci stani,none,15
front garden,garden_area,197
terasa balkon m2,terrace_area,338
cena s dph 12,price,582
lodzie terasa m2 m2,balcony_area,158
typ domu m2,none,419
parkovani zdarma m2,none,527
terasa lodzie m2,exterior_area,280
cena 12 dph,price,333
balkon m2,balcony_area,354
balkon terasa m2,exterior_area,246
balkon terasa m2,exterior_area,500
celkova cena vc dph,price,268
b l t m2,exterior_area,371
front garden,garden_area,197
karta domu,none,128
cena bez dph,none,112
b t l m2,exterior_area,293
price of amenities inc vat,price,200
orientace m2,orientation,14
balkon m2,balcony_area,35
terasa lodzie m2,exterior_area,565
bytova jednotka,id,149
unit no m2,id,134
b t l,exterior_area,129
cena bytu bez prislusenstvi vc dph,price,496
b t z m2,exterior_area,63
zahrada m2 m2,garden_area,36
podlahova plocha m2,floor_area,131
pocet pokoju m2,layout,322
podlahova plocha,floor_area,405
cena za prislusenstvi s dph,price,192
vila,id,612
sklepni koje ks,none,252
lodzie balkon terasa zahradka m2,balcony_area,466
cena s dph v kc m2,price,603
plocha celkem m2,total_area,372
prislusenstvi v cene m2,none,326
building m2,building,604
cena za byt s dph bez prislusenstvi m2,price,191
pozemek m2,garden_area,550
lodzie terasa predzahradka,exterior_area,598
podlahova plocha brutto m2 m2,floor_area,57
celkova plocha vc prislusenstvi m2,total_area,325
cena celkem,price,399
terasa lodzie,exterior_area,280
balkon terasa,balcony_area,27
final pc kc,price,328
b t3,exterior_area,505
terasa balkon predzahradka m2,exterior_area,449
byt c m2,id,254
premium smart,none,587
b l t m2 m2,balcony_area,623
cena vc dph 1,price,581
balkon terasa m2,exterior_area,179
terasa balkon m2 m2,exterior_area,249
jednotky,id,423
cena byt vc dph m2,price,376
podlazi,floor,236
parking m2,none,335
sekce m2,building,525
budova m2,building,235
terasa predzahradka,exterior_area,584
kod,id,448
uzit plocha m2,floor_area2,532
sklepni koje m2,cellar_area,211
plocha m2,floor_area,119
byt m2,floor_area,178
umisteni,none,208
virtualni prohlidka,none,554
terasa lodzie m2,balcony_area,181
uzitna plocha m2 m2,floor_area2,23
balkon terasa predzahradka,exterior_area,358
celkova plocha,total_area,212
podlah plocha,floor_area,330
stav jednani m2,availability,28
price excluding amenities inc vat,none,199
specialni vybaveni,none,64
balkon terasa m2,exterior_area,516
predzahradka m2,garden_area,409
uzitna plocha v m2,floor_area2,265
plocha m2 2,floor_area,578
terasa zahrada m2 m2,exterior_area,348
investicni potencial,none,162
m2 balkonu m2,balcony_area,109
vymera bytu,floor_area,150
sklep komora m2,cellar_area,49
cena vc dph,price,432
min vklad,none,130
budova,building,235
np m2,floor,12
dostupnost m2,availability,561
cena bytu vc dph,price,165
cena bytu bez prislusenstvi vc dph,price,496
basement storage,cellar_area,301
celkova plocha uzitna,floor_area2,383
np,floor,12
cena celkem vc 12 dph m2,price,393
plocha m2,floor_area,4
price inc vat,price,456
akcni cena,price,512
pozemek m2,garden_area,550
terasa lodzie m2,balcony_area,181
balkon terasa,balcony_area,27
celkova cena,price,596
balkon terasa,exterior_area,275
plocha m2 m2,floor_area,292
strop m,none,370
typ jednotky m2,category,270
b l t m2,balcony_area,623
celkova plocha,none,111
cena m2,price,485
karta bytu,none,319
podl plocha2,floor_area,504
car lift,none,295
c bytu m2,id,413
lodzie,balcony_area,50
balkon predzahradka terasa m2 m2,garden_area,168
pl podl,floor_area,289
cena vc dph,price,171
podlahova plocha m2,floor_area,22
budova,building,499
front garden,garden_area,197
kod bytu,id,490
terasa balkon m2 m2,exterior_area,577
terasa balkon m2,exterior_area,577
cena vc dph,price,432
velikost pozemku m2,total_area,320
balkon lodzie terasa predzahradka m2,balcony_area,272
balkon terasa m2,balcony_area,363
gps m2,none,442
parkovaci misto,parking_place_number,349
b l t m2,exterior_area,371
parkovaci stani,parking_place_number,410
balkon lodzie terasa,exterior_area,164
konecna cena,price,507
velikost zahrady v m2,garden_area,267
pozemek m2 m2,total_area,589
cena vc dph,price,590
vymera bytu v m2,floor_area,461
stav inzerce,availability,556
etapa,none,390
dum m2,floor_area,418
vymera terasy v m2,terrace_area,463
info,none,269
cena kc,price,498
stav,availability,114
uzitna plocha m2,floor_area2,217
cena za prislusenstvi s dph,price,192
cena s dph kc,price,491
byt,id,32
detail m2,none,40
podl plocha1,floor_area,592
plocha m2,floor_area,323
uzitna plocha,floor_area2,147
balcony terrace m2,exterior_area,139
b t l,exterior_area,129
kolaudace,none,145
cena kc m2 bez dph,none,66
uzitna plocha m2,floor_area2,18
detail bytu m2,none,7
terasa v m2,terrace_area,477
balkon terasa,balcony_area,27
price czk m2,price,141
status,availability,39
uzitna plocha v m2,floor_area2,265
obytna plocha,floor_area2,426
do katalogu,none,400
celkova plocha,none,111
uzitna plocha m2 1 m2,floor_area2,588
b l t m2 1,terrace_area,331
cena s dph kc,price,450
uzitna plocha m2,floor_area2,220
front garden m2,garden_area,197
cena vc dph m2,price,432
specialni vybaveni m2,none,64
terasa m2,terrace_area,458
flats count,none,573
available flats count,none,574
predzahradka terasa balkon m2,exterior_area,600
m2 bytu,floor_area,106
ozelenena terasa,terrace_area,154
byt cislo,id,225
uzitna plocha m2,floor_area2,248
balkon terasa m2,exterior_area,275
podlazi,floor,236
podlahova plocha m2,floor_area,17
terasa lodzie m2,exterior_area,313
floor space m2,floor_area,195
premium smart m2,none,587
lodzie balkon terasa zahradka m2 m2,balcony_area,466
predzahradka,garden_area,48
balkon 2,balcony_area,392
lodzie terasa predzahradka,balcony_area,586
usazeni na pozemku,none,440
cena s dph,price,121
velikost,floor_area,424
loggia balcony,balcony_area,299
zahradka v m2,garden_area,476
vymer m2,floor_area,203
terasa balkon lodzie zahradka,exterior_area,188
patro,floor,61
pl zahrady,garden_area,290
m2 balkonu,balcony_area,109
pdf m2,none,123
plocha bytu m2 m2,floor_area,616
cena kc m2 bez dph,none,66
rooms,layout,606
parkovaci misto m2,none,204
terasa 1 np,terrace_area,367
stav inzerce m2,availability,556
balkon,balcony_area,44
termin k nastehovani,none,52
celkova cena,price,596
stav inzerce,availability,556
kupni cena s dph,price,621
stav,availability,534
cena vc dph m2,price,51
nazev,id,214
byt zn m2,id,452
byt c,id,254
cena jednotky vc dph,price,387
prodejni cena m2,price,213
garazove stani ks,none,251
balkon terasa,balcony_area,417
vymera,floor_area,46
balkon terasa,exterior_area,559
cena bytu vc prislusenstvi kc s dph m2,price,262
balkon terasa m2 m2,balcony_area,229
plocha m2,floor_area,323
b l t m2,balcony_area,239
umisteni,none,208
velikost pozemku,total_area,320
stav jednani,availability,28
stav m2,availability,626
balkon terasa,balcony_area,417
cena s dph kc,price,450
price inc vat,price,456
uzitna plocha,floor_area2,25
sekce,building,525
plocha celkem m2,total_area,372
plocha teras m2,terrace_area,210
podlahova plocha m2 m2,floor_area,312
specialni vybaveni m2,none,64
unit no,id,134
cena kc m2 bez dph,none,66
garazove stani ks m2,none,251
kod bytu,id,490
cena vc dph,price,380
byt,id,32
terasa balkon predzahradka m2 m2,exterior_area,449
evidencni cislo,id,445
cena s dph kc,price,518
terasa balkon,terrace_area,469
exterier,exterior_area,190
cena kc,price,59
vymera bytu,floor_area,150
plocha m2 m2,floor_area,167
lodzie terasa predzahradka m2,balcony_area,586
b t z m2,balcony_area,625
balkon terasa,exterior_area,377
dokonceni,none,65
price czk,price,141
uzitna plocha m2,floor_area2,248
plocha predzahradky m2,garden_area,230
balkon terasa m2,terrace_area,132
m2 zimni zahrady m2,garden_area,108
cena kc,price,223
cislo jednotky,id,283
akce m2,none,103
dum cislo m2,id,436
poptat byt,none,351
objekt,building,54
parkovani,parking_place_number,416
podlahova plocha,floor_area,537
lodzie balkon terasa zahradka m2,balcony_area,466
b l t m2 1,terrace_area,331
cena m2,price,560
zahrada s terasou,garden_area,364
np m2,floor,12
celkova uzitna plocha m2,floor_area2,538
zahrada,garden_area,126
transakce,none,398
sklepni koje ks,none,252
plocha m2,floor_area,119
premium smart,none,587
domy,id,486
b t3,exterior_area,505
floor space m2,floor_area,195
celkova podlahova pl,floor_area,146
price inc vat,price,456
celkova plocha bytu m2 m2,floor_area,174
stav,availability,534
cena celkem vc dph m2,price,45
plocha celkem,floor_area,202
cena bytu bez prislusenstvi vc dph,price,496
pudorys,none,523
cena vc dph,price,51
projekt,none,281
c j,id,20
garaz,parking_place_number,549
uzit plocha m2,floor_area2,532
typ vlastnictvi,none,629
pdf bytu,none,602
ozelenena terasa m2,terrace_area,154
parkovani,none,344
podlahova plocha m2,floor_area,131
cena s dph 12 21,price,472
karta bytu,none,53
m2 terasy m2,terrace_area,110
loggia balcony,balcony_area,299
blok,building,116
podl plocha,floor_area,414
completion,none,198
cena vc dph m2,price,51
typ domu m2,none,419
b l t m2 m2,exterior_area,371
virtualni prohlidka m2,none,554
plocha svislych konstrukci,none,384
cena vc dph,price,51
plocha1 m2,floor_area,443
podlahova plocha m2 m2,floor_area,228
vymer,floor_area,203
cena rezervovane garaze kc,none,161
cista plocha,floor_area,513
nemovitost,id,395
terasa lodzie,terrace_area,30
vynos,none,558
zahrada m2,garden_area,36
zahradka v m2,garden_area,476
cena bez dph,none,112
plocha pozemku,total_area,148
balkon terasa,exterior_area,286
uzitna plocha v m2 m2,floor_area2,265
cena prislusenstvi vc dph m2,none,497
pudorysy,none,597
termin k nastehovani m2,none,52
terasa lodzie m2 m2,exterior_area,313
pudorys pdf,none,31
sekce m2,building,525
poptat byt,none,351
cena vc dph 1 m2,price,581
stav jednani,availability,28
cena jednotky vc dph,price,387
cena garazoveho stani,none,495
cena rezervovaneho sklepa kc,none,160
pudorys bytu m2,none,350
pocet pokoju m2,layout,322
stav inzerce,availability,556
zahrada stresni zahrada m2 m2,garden_area,580
typ stani m2,none,541
cislo kod jednotky m2,id,379
aktualne,availability,259
availability m2,availability,303
cena bytu vc dph m2,price,165
cena jednotky vc dph,price,387
vymera pozemku,total_area,439
balkon 2 m2,balcony_area,392
balkon terasa lodzie zahrada predzahradka m2,balcony_area,186
vyber k poptavce,none,362
balkon terasa m2,exterior_area,559
final pc kc,price,328
transakce,none,398
byt cislo m2,id,225
plocha celkem,floor_area,202
cena s dph kc,price,491
cena bytu vc dph,price,165
terasa balkon m2,terrace_area,469
terasa,terrace_area,406
poptat byt,none,351
completion m2,none,198
stav m2,availability,114
atrium m2,none,492
info,none,269
provedeni,none,620
dostupnost,availability,451
uzitna plocha,floor_area2,25
parkovaci misto,parking_place_number,349
cena m2,price,560
uzitna plocha,floor_area2,430
celkova plocha m2,none,216
m2 pozemku,garden_area,107
podlazi m2,floor,2
standard,none,517
cena vc dph1,price,506
lodzie terasa,exterior_area,207
predzahradka m2,garden_area,48
velikost bytu m2,floor_area,347
plocha m2 m2,floor_area,4
terasa balkon lodzie zahradka,exterior_area,188
velikost pozemku,total_area,320
plocha rd,floor_area,438
plocha bytu v m2 m2,floor_area,256
sklep m2,cellar_area,183
balkon lodzie terasa predzahradka m2 m2,balcony_area,272
stav m2,availability,534
balkon lodzie terasa predzahradka m2,balcony_area,272
projekt m2,none,281
typ,category,514
flats count,none,573
prisl m2,exterior_area,617
cena bez dph,none,324
area size m2,floor_area,607
aktualni stav m2,availability,263
balkon 2,balcony_area,392
kupni cena s dph,price,621
cislo bytu m2,id,10
pudorysy m2,none,597
konecna cena m2,price,507
plocha m2,floor_area,515
podl plocha m2,floor_area,414
podlazi m2,floor,117
celkem,none,566
cena vc dph1,price,506
velikost bytu,layout,474
podlahova plocha,floor_area,17
terasa lodzie,exterior_area,565
celkova cena m2,price,596
balkon 2,balcony_area,392
balkon lodzie,balcony_area,528
jednotka c m2,id,382
sklep m2,cellar_area,183
strop m m2,none,370
cena bytu s dph,price,360
termin k nastehovani,none,52
celkova plocha,none,111
byt cislo,id,225
plocha m2 2,floor_area,578
car lift,none,295
nastehovani,none,224
plocha predzahradky,garden_area,595
ozelenena terasa,terrace_area,154
uzitna podlahova plocha,floor_area,627
cena prislusenstvi vc dph m2,none,497
cena od kc,price,144
atrium,none,492
kupni cena s dph,price,621
prislusenstvi m2,none,120
terasa balkon predzahradka m2,exterior_area,449
popis m2,layout,509
dostupnost,availability,561
celkova plocha m2,none,216
plocha,floor_area,11
cena vc dph kc m2,price,444
flats count m2,none,573
plocha m2,floor_area,323
cena s dph 12 m2,price,582
dum cislo,id,436
prodejni cena,price,213
byt m2,id,429
bytova jednotka m2,id,576
area size,floor_area,607
stav m2,availability,626
umisteni,none,208
cena za prislusenstvi s dph,price,192
typ,category,13
balkon terasa m2,exterior_area,516
soubor,none,291
podlahova plocha,floor_area,537
zahrada m2 m2,garden_area,250
cena kc,price,285
available flats count,none,574
cislo j,id,206
celkova podlahova pl,floor_area,146
cena prislusenstvi vc dph,none,497
availability,availability,303
stav pouze volne m2,availability,394
cena v kc vc dph,price,184
title,id,605
b t m2,exterior_area,593
celkova plocha m2,total_area,391
koupit online,none,480
terasa lodzie m2 m2,balcony_area,181
podlahova plocha vc garaze m2,floor_area,366
sklepni koje m2,cellar_area,215
c bytu,id,413
bytova jednotka,id,149
gps,none,442
typ stani,none,541
plocha m2 m2,floor_area,34
cena bez dph m2,none,112
kupni cena s dph m2,price,621
projekt,none,396
typ nabidky,category,353
cena od kc m2,price,144
zakladni cena m2,price,487
total area,total_area,297
1 np m2,none,569
plocha1,floor_area,443
infolist,none,279
bytova jednotka,id,149
celkova plocha bytu m2 m2,floor_area,174
budova,building,26
stav pouze volne,availability,394
b t l m2,exterior_area,293
oznaceni bytu,id,173
plan pdf,none,619
uzit plocha m2,floor_area2,532
detail bytu,none,166
cena v kc vc dph,price,184
balkon terasa m2,exterior_area,500
vymer m2,floor_area,203
vymera pozemku m2 m2,total_area,142
sklep m2,cellar_area,5
prodejni cena,price,213
cena bez dph,none,112
available flats count m2,none,574
balkon terasa m2,balcony_area,47
vymer,floor_area,203
zakladni cena,price,487
virtualni prohlidka,none,554
cena za bytovou jednotku s dph,price,378
cena s dph,price,121
terasa v m2,terrace_area,477
c bytu m2,id,524
cena bez dph,none,324
podlahova plocha,floor_area,17
prislusenstvi,none,62
podl plocha1,floor_area,592
balkon terasa m2,balcony_area,47
lodzie terasa,exterior_area,599
podlazi m2,floor,2
plocha m2,floor_area,11
lodzie terasa predzahradka,exterior_area,598
pozemek m2,total_area,21
termin nastehovani m2,none,189
dum m2,id,102
vymera parcely,none,539
zastavena plocha v m2,none,266
plocha pozemku,total_area,148
balkon lodzie terasa m2,exterior_area,164
rooftop terrace,terrace_area,300
dum cislo,id,436
cislo domu,id,264
oznaceni bytu m2,id,173
terasa predzahradka m2,exterior_area,584
sekce,building,525
podlah plocha,floor_area,330
cena za byt s dph bez prislusenstvi,price,191
cena bytu vc sklepa m2,price,310
cena vc dph m2,price,231
akce,none,103
vymera,floor_area,46
cena,price,501
cena jednotky kc,price,159
celkova plocha,total_area,212
cena rezervovaneho sklepa kc m2,none,160
balkon terasa m2,exterior_area,516
np,floor,618
predzahradka m2,garden_area,133
building,building,194
oznaceni m2,id,29
detail bytu,none,7
sklep sklepni koje m2,cellar_area,614
balkon m2,balcony_area,334
cena bytu bez prislusenstvi vc dph,price,496
balkon terasa m2,exterior_area,559
dum,id,433
sklepni koje ks,none,252
garazove stani,parking_place_number,389
vymera predzahradky v m2,garden_area,462
floor space m2,floor_area,195
kod m2,id,336
disp m2,layout,329
m2 terasy,terrace_area,110
m2 pozemku,garden_area,107
investicni potencial m2,none,162
b t,exterior_area,593
parkng,parking_place_number,564
pudorys pdf m2,none,31
vymera celkem v m2,total_area,464
pocet pater,none,446
galerie pracovna m2,none,585
np m2,floor,618
celkova plocha uzitna,floor_area2,383
uzitna plocha,floor_area2,217
plocha bytu m2,floor_area,305
plan m2,none,60
soubor,none,291
cena vc dph 1,price,581
floor space,floor_area,195
c bytu,id,524
balcony area size,balcony_area,609
katalogovy list,none,185
area m2,floor_area,138
castecne vybaveno m2,none,308
parkovani m2,none,344
info m2,none,269
plocha balkonu,balcony_area,306
uzitna plocha m2,floor_area2,23
sklep m2,cellar_area,5
terasa 1 np,terrace_area,367
celkova ceny bytu s dph m2,price,258
balkon terasa m2,terrace_area,132
sklepni koje m2 m2,cellar_area,215
cena jednotky kc,price,159
prislusenstvi zahrada m2 lodzie m2 terasa m2,exterior_area,261
parkovani zdarma,none,527
celkova cena vc dph,price,268
terasa,terrace_area,153
b l t m2 1 m2,terrace_area,331
cena vc dph,price,467
cena kc,price,498
celkova plocha,floor_area,152
parking m2,none,335
garaz,none,218
vybaveni 2,none,332
podlahova plocha,floor_area,209
cena bytu vc sklepa,price,310
status m2,availability,611
cena kc,price,38
plocha bytu,floor_area,305
plocha predzahradky m2,garden_area,230
unit no,id,134
byt,id,531
typ jednotky,category,270
plan pdf,none,619
balkon terasa m2,exterior_area,246
b l t m2 3,balcony_area,579
lodzie terasa,exterior_area,207
cena celkem vc dph m2,price,45
terasa lodzie m2 m2,balcony_area,181
vymera parcely m2,none,539
karty m2,none,373
balkon lodzie,balcony_area,528
termin dokonceni m2,none,420
dispozice bytu m2,layout,255
balkon terasa,exterior_area,275
celkova plocha bez terasy,floor_area,385
cislo a oznaceni bytu m2,id,226
balkon lodzie terasa,exterior_area,164
pl podl,floor_area,289
velikost bytu,layout,474
stav jednani,availability,28
dum cislo,id,436
akce,none,103
cena kc,price,38
balkon lodzie terasa predzahradka m2 m2,balcony_area,615
predzahrada m2,garden_area,435
cena bytu vc prislusenstvi kc s dph,price,262
cena,price,501
sklep komora m2,cellar_area,49
stav pouze volne m2,availability,394
balcony terrace m2 m2,exterior_area,139
cislo bytu,id,10
plocha m2,floor_area,119
celkova plocha bez terasy,floor_area,385
cena s dph 12,price,582
aktualni stav domu m2,none,437
dispozice m2,layout,3
type,category,137
cena kc,price,59
oznacit k poptani m2,none,403
termin nastehovani,none,189
pozemek m2 m2,total_area,21
cena vc dph,price,171
oznaceni,id,29
b l t m2 1,terrace_area,331
plocha m2,floor_area,274
cena bytu vc sklepa,price,310
stav prodeje,availability,552
popis,layout,509
orientation,orientation,302
b l t m2 m2,exterior_area,371
cislo bytu,id,311
terasa predzahradka,exterior_area,584
terasy zahrady m2,exterior_area,483
price range,none,575
zahrada s terasou,garden_area,364
sklep m2,cellar_area,548
cena bytu s dph m2,price,360
karta bytu m2,none,553
cena celkem m2,price,421
typ prostoru,category,321
uzitna plocha,floor_area2,430
premium smart m2,none,587
sekce,building,525
apartment,id,193
cena s dph 12 21,price,472
media,none,242
loft no,id,294
total area,total_area,297
zakladni cena,price,487
poptat,none,8
terasa balkon,terrace_area,469
terasa balkon m2,balcony_area,431
m2 bytu,floor_area,106
plan pdf,none,619
provedeni,none,620
plocha predzahradky m2,garden_area,230
terasa balkon m2,terrace_area,338
uzitna plocha m2,floor_area2,23
podl plocha,floor_area,414
terasa lodzie m2,exterior_area,313
celkova plocha m2 m2,total_area,37
podl plocha2,floor_area,504
gs,none,471
dispozice bytu m2,layout,255
cena vc dph,price,51
id,id,42
plocha domu od m2,floor_area,143
cena prislusenstvi vc dph m2,none,497
plocha bytu v m2,floor_area,256
cena s dph kc,price,450
nazev,id,214
prodejni plocha bytu,floor_area,374
cena bytu vc dph m2,price,176
vymera predzahradky v m2,garden_area,462
poptavka m2,none,359
b l t m2,balcony_area,623
cena bytu s dph,price,360
parkng,parking_place_number,564
plocha balkonu,balcony_area,306
aktualni stav domu,none,437
stav inzerce,availability,556
cena celkem vc dph kc m2,price,253
vymera predzahradky v m2,garden_area,462
detail m2,none,288
uzitna plocha m2,floor_area2,25
price range m2,none,575
m2 bytu m2,floor_area,106
podlahova plocha m2,floor_area,157
balkon terasa m2 m2,exterior_area,179
amenities m2,none,201
prislusenstvi,none,120
detail bytu,none,7
vymera bytu m2,floor_area,150
gps m2,none,442
vymera predzahradky v m2,garden_area,462
celkova cena s dph m2,price,365
katalogovy list m2,none,185
lodzie terasa,exterior_area,207
atrium m2,none,492
podl plocha2 m2,floor_area,504
terasa predzahradka,exterior_area,584
c j m2,id,20
plocha mistnosti,floor_area,510
pl zahrady m2,garden_area,290
vila,id,612
